Rating,Users,Field,Action,Developer,Description
5.0,1 users,Arts & lifestyle,Daily Reading,Catena,The Daily Reading is based on the Lectionary of the Church of Alexandria. The Liturgy readings are selected. This is the Lectionary of the Bible app Catena.
4.5,55 users,Arts & lifestyle,Book Author Facts,Google Inc.,"Ask your Assistant for facts about authors, such as birthdate, quotes, books, and biography"
4.0,2 users,Arts & lifestyle,Stones & Hustle,Stones & Hustle Inc.,"The Stones and Hustle app for Google Assistant provides random motivational phrases for entrepreneurs worldwide. By talking with the app, you'll get out of any slump you're in, and remember the only thing it takes to succeed is stones and hustle."
5.0,1 users,Arts & lifestyle,Huzaifa's Agent,Hazdor,I am capable of intelligent behavior. I can change your mood by telling you the jokes and humorous quotes. If you are getting bored you can have a conversation with me. I am capable of searching songs for you on youtube and Dailymotion. If you want to get socialized I can also find new contacts for you on Facebook. You can also search people on Google and Wikipedia through me
4.2,4 users,Arts & lifestyle,Bangla Quran,Kaisar Uddin,"Bangla Quran with transliteration and bangla meaning and you can also listen single verse of any chapter.

Arabic - Mishary Rashid Alafasy
Bangla - Bangla Quran Islamic Foundation

Thanks"
3.8,16 users,Arts & lifestyle,Mind Guru,OpenBiz Solutions,"Mind Guru is a skill that gives you relaxing phrases to help you find positive thoughts and brighten your day. Our minds are powerful and have a great influence in the way we see and feel the world around us. Mind Guru helps you boost your mood.
To use this skill, enable it. The you can ask the following:

'ask Mind guru a relaxing quote'"
3.5,2 users,Arts & lifestyle,awesome quote,Vaibhav Malpani,You can use awesome quote to get your daily motivation
3.6,8 users,Arts & lifestyle,Crave Engine,Abrays,"Crave Engine gives tour of abrays blog posts, tell you quotes from his blog, tells you some jokes when you are bored, tells you recent weather forecast of over 2 Lakh Cities and suggests you about movies to watch."
5.0,20 users,Arts & lifestyle,Daily chemistry facts,Pooja,Daily chemistry facts provides you some amazing facts about role of chemistry in our life
4.6,45 users,Arts & lifestyle,The World's Book of Knowledge,,This bot help us to learn Thirukkural by Thiruvalluvar
5.0,4 users,Arts & lifestyle,Gary Vaynerchuk Quotes,,Are you a Gary Vaynerchuk follower? Use this action to hear some of his best quotes.
5.0,1 users,Arts & lifestyle,Randomize Quotes,Jay Kanakiya,Randomize Quote is an app which enables user to generate quotes and get an inspiration to succeed in Life!
3.6,28 users,Arts & lifestyle,Inspire Me,BitCot,"To inspire, motivate, recite and share. The main goal of the InspireMe application is to provide great content to educate and use the power of inspiration
to stimulate influence upon the intellect or emotions."
4.5,160 users,Arts & lifestyle,Gita Quotes,English King,"Gita Quotes will help you to live your life without getting frightened. It will motivate you to live your life fluently. The motive of this app is to spread the positivity and good things among the people. Get to know our religion, our culture, our belief. Connect with our religion and let's make this world a place of peace!"
4.0,6 users,Arts & lifestyle,Science Pickup Lines,,Science pickup lines will tell you a nerdy pickup line.
5.0,1 users,Arts & lifestyle,Today's Stoicism,vimota,Today's Stoicism gives you a brief quote from the famous Stoics of history for you to carry with you throughout the day.
4.1,19 users,Arts & lifestyle,Quote teller,Vanpra,"Quote teller can tell a variety of different quotes, inspirational quotes, famous quotes and even quotes said by famous Google figures such as Larry Page and Sergey Brin. Quotes teller has over 100 different quotes with more being continuously added Just ask quote teller for a quote. Quote teller can also tell you quotes from a many different celebraties"
3.7,73 users,Arts & lifestyle,Who Ate the Tuna Salad?,,"Tuna Salad is the premier google action for mocking the all-too-common restaurant conversation of dividing a check. The user asks Google Assistant ""Who ate the Tuna salad?"" to which they respond with literary quote denying that the dish was there's."
4.8,6 users,Arts & lifestyle,Daily Quoter,Sanketzade,Bored! Depressed! Just talk to Daily Quoter to hear a quote.
5.0,9 users,Arts & lifestyle,Happy quote,Lets Nurture,"Feeling bored on a busy day? Need an inspiration? Well, with Google home, you can hear the best quotes of the day whenever you wish to. Google Action developers of Let’s Nurture have developed an amazing Google Action called ‘Happy Quotes’. You only have to say ‘Ok Google, tell me quote of the day.” Google Home will provide you the best quotes to perk you up. Enjoy!!"
2.5,4 users,Arts & lifestyle,Totally 80s,thirteen23,Totally 80s plays scenes from the movie Ferris Bueller's Day Off
3.9,47 users,Arts & lifestyle,Gods word,Thirishul,Thirukkural is the ultimate way to learn
4.0,37 users,Arts & lifestyle,Daily Motivation,G Services,"Feeling down or in need of a uplifting and inspirational message? Daily Motivation is here to provide, start your day or afternoon with an inspirational quote or short story from Daily Motivation!

The Action works by grabbing a quote or a story from a pool, and reads it. List is updated constantly."
4.3,145 users,Arts & lifestyle,Winston Churchill Quotes,Roger Thomas,"Bring some of the most powerful quotes into your assistant by asking to ""talk to Winston Churchill""."
3.2,90 users,Arts & lifestyle,Girl Power,,"No matter your sex, we can all use some inspiration.

Be inspired by past and present women from around the world, and share the inspiration around you.

And in the process, learn more about outstanding women like Florence Nightingale, Cora Coralina, Evita Peron, and many others!"
4.3,23 users,Arts & lifestyle,Daily Quote,Open Minds UG (haftungsbeschränkt),"Daily Quote gives you a new quote every day. It tells you the saying itself and by whome this saying is. 

From December onwards the following new features will be added:
- ask for random quotes
- ask for quotes of past dates
- ask for a repetition of the quote
- link through to the Wikipedia page of the author (on devices with a screen)
- link through to a Google search of the quote (on devices with a screen)"
4.2,46 users,Arts & lifestyle,Inspiring Quotes,,It will inspire you with a inspirational quote everytime
4.2,366 users,Arts & lifestyle,Alfred Quotes,,Tell Alfred how you feel and Alfred will give you an uplifting quote that matches your mood.
4.5,21 users,Arts & lifestyle,Travel Quotes,Raghav,Travel quotes inspire people to travel more by providing many travel quotes
3.0,134 users,Arts & lifestyle,Motivate Me,,Feeling down? Need some inspiration? Motivate Me is just what you need. Ask for motivation and you will receive the best motivational sound clips
3.8,118 users,Arts & lifestyle,Today Daily Devotional,Reframe Media,"Today is a daily devotional that helps God's people refresh, refocus, and renew their faith through Bible reading, reflection, and prayer. You can play today's devotion, or ask for a devotion from another date if you want to listen ahead or re-play an old favorite."
4.1,174 users,Arts & lifestyle,Pick Me Up,Introlight,Talk to Pick Me Up when you need a little encouragement within everyday life
4.5,334 users,Arts & lifestyle,Bible Verse of the Day,Peter Friese,"This app shows the verse of the day from the Bible and reads it out to you.


Bible translation: THE HOLY BIBLE, NEW INTERNATIONAL VERSION®, NIV® Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.® Used by permission. All rights reserved worldwide.

The verse of the day is served via BibleGateway.com."
4.3,397 users,Arts & lifestyle,Get Motivated,VoiceCities,"Listen to motivational quotes & music to get you ready for your morning run, gym session, sporting match or normal day.

Perfect for those early mornings before you go running or head down to the gym. Or do you have a big day at work? perhaps an exam? and just need a little bit of extra energy.

If you love this App please leave us a 5-star review. It really means the world to us and helps us add new content and Apps. Thank you."
3.5,2 users,Business & finance,AJ Bell,Youinvest,"Customers of AJ Bell Youinvest can ask for account information after securely linking their account.  Anyone can ask for a share price from the London Stock Exchange using a company name or ticker symbol, e.g. Vodafone or V O D"
1.0,1 users,Business & finance,Australian Shares,Creative Voice Lab,"Look up the price of shares listed on the ASX (Australian Stock Exchange). Prices are delayed 20 minutes.
You can also 'Switch Exchange' to look up a price on the NASDAQ exchange."
0.0,0 users,Business & finance,MercMoney,Mercantile - Bank of Michigan,"MercMoney from Mercantile Bank of Michigan is a free virtual financial assistant available any time of the day. Ask about specific financial accounts, recent transactions, upcoming expenses, check investments, pay bills, and much more. With MercMoney, you can aggregate and manage all financial accounts in one, easily accessible place."
3.1,19 users,Business & finance,SBI,State Bank of India,This is SBI's Intelligent Assistant on the Google Assistant platform.
3.2,28 users,Business & finance,HDFC Bank,Senseforth AI Research Private Limited,"This app lets you chat with HDFC Bank's virtual assistant Eva to get  information about  the bank's products and services. For e.g. It can give you details about IFSC code, branch address,  fixed deposit rates , credit card blocking, latest interest rates etc."
4.6,19 users,Business & finance,Helpline kerala,Farha Abdul Kareem,"We know that Kerala is facing the worst kind of floods. With helpline Kerala, one can get helpline numbers of necessary resources like food, drinking water, soaps, napkins, towels, blankets etc. This is something that the state is in need of."
1.0,2 users,Business & finance,Cincinnati Real Estate,Voiceter Pro LLC,"Cincinnati Real Estate has two major components. You can use it to begin your listing process by finding out an estimated home value as well as search for listings in your area. The home value track will give you a no-obligation estimated home value. Check back in as often as you like to hear how your home value estimate changes over time and to feel the market pulse. 

The home buying track will verbally walk you through criteria that will help you narrow down what you're looking for in your next home. Then, it will read you the top results and email the list directly to your inbox. Cincinnati Real Estate is brought to you by Berkshire Hathaway HomeServices Professional Realty, a leading full service real estate brokerage in Ohio and Northern Kentucky.

Powered by Voiceter Pro"
0.0,0 users,Business & finance,pyTeens Community,Hearot,"pyTeens presents its own assistant, you may use it to get informations about the Community, social networks and, in a near future, more and more!"
5.0,4 users,Business & finance,WD Trivia,wdRocket.com,"Use this fun game to learn more about Workday, or to challenge yourself and others to see who knows the most.  Use it to help prepare yourself for Workday job interviews, or to get ideas of questions to ask.  Do you know of great Workday trivia questions yourself?  Submit them at www.wdRocket.com/wdTrivia/ and will enter you to win Amazon gift certificate.   Do keep in mind that this trivia game made for and by Workday users, and is not associated with Workday company.  Furthermore, it leverages collaborative knowledge of many Workday users  so if some information is inaccurate of have change, please let us know."
5.0,4 users,Business & finance,Motherland Coffee Company,Blu Bnana,"All our coffees are specialty grade African single origin or blended coffees. 

Every origin we source from is a unique and exceptional coffee in its own right. We love discovering the unique flavour of a specific coffee region, but we also enjoy putting together blends that bring out interesting and complimentary flavour journeys. 

Sourced through direct trade relationships, every one of our coffees offer something special, and we want you to taste the love, effort and passion that goes into every bag"
0.0,0 users,Business & finance,Go Insurance,Gopal Agrawal,"Learn new insurance terms daily, check your knowledge."
5.0,1 users,Business & finance,Maulana Azad University Jodhpur,Maulana Azad University Jodhpur,"You can ask about admission, fees, courses and team associated with the Maulana Azad University. A friendly conversation to that would help conversational talk between user through voice."
4.5,655 users,Business & finance,Stock Updates,Google Inc.,Get information on your individual stocks and overall market conditions using your voice.
4.6,5 users,Business & finance,AdvisorRadio,Horsesmouth,"AdvisorRadio provides financial advisors with best practices, case studies, strategies, and new ideas from around the industry.

AdvisorRadio comes from Horsesmouth, a firm dedicated to helping financial advisors succeed for their clients and grow their businesses."
0.0,0 users,Business & finance,Home Loan Expert,Finbee,Home Loan Expert can tell you everything about Home Loans in India
4.7,23 users,Business & finance,Credit Builder,Starbutter AI,"Cam empowers you to build and maintain your credit! He does research on best practices and offers you practical steps in boosting your credit score and maintaining overall financial health. Cam will check your credit score for free, meet you wherever you are, and work with you to set and reach your financial goals.
 
People love Cam because he helps them understand their credit report and how to build up a good credit score. He enables them to be confident in utilizing tools and resources to increase their credit. Cam is an expert on a number of personal finance topics like credit, savings, and loans, and he is always happy to help you put your financial anxieties to rest!

EXAMPLES
Ways you can talk to Credit Builder:
""OK Google, talk to Credit Builder""
""OK Google, ask Credit Builder to estimate my credit score?
""Hey Google, ask Credit Builder how to improve credit score?""
""Hey Google, ask Credit Builder what is a good credit score?

TECHNOLOGY
Introducing Cam - an interactive, conversational agent.  Unlike dumb bots based on rules, Cam has an sophisticated natural language processing and machine learning core.  He learns and gets better over time, helping you navigate the task of building credit and maintaining financial health.

COMPANY 
Credit Builder is built by Starbutter AI, the world's expert on interactive conversational agents for credit cards, banks, mortgages, insurance, and personal finance.
www.starbutter.com"
4.2,97 users,Business & finance,Google Pay,Google Inc.,"Google Pay is the fast, free way to send and request money on Google Assistant. Send money to anyone with just an email or phone number. With Google Pay, you can go halfsies on brunch, or request money for tickets to that once in a lifetime gig."
2.4,5 users,Business & finance,RateSupermarket,Ratesupermarket.ca,Find the lowest mortgage rate on Ratesuprtmarket.ca and calculate your mortgage payment.
4.9,7 users,Business & finance,reliant,reliant energy,"With simple voice commands you can conveniently manage your Reliant account with Google Home powered by the Google Assistant. Pay your bill, get details about your current plan, check your energy usage and more. 
You can ask Google:
•	What is my current balance?
•	What's my bill?
•	What was my last payment?
•	Pay my bill.
•	How much electricity am I using?
•	What plan am I on?
•	When is my contract up?

To set-up the Reliant Energy action for Google Home you will be asked to log in with your Reliant username and password (your username may be your email address). Start a session by saying “Ok Google, open Reliant Energy.”  Be sure you've saved your bank or credit card information in your Reliant online account to make a payment. For support, please visit 
https://www.reliant.com/google"
3.1,7 users,Business & finance,Flipper Energy,Flipper Ltd.,"Throughout the year, Flipper saves you money by seamlessly switching you onto the best energy deals. 

We take care of the entire switching process for you — from submitting your switch application and meter readings, to confirming when your new supply goes live.

In short, you save money while we do the hard work."
,,Business & finance,The Indicator from Planet Money,,"A little show about big ideas. From the people who make Planet Money, The Indicator helps you make sense of what's happening today. It's a quick hit of insight into work, business, the economy, and everything else. Afternoons, three times a week."
,,Business & finance,Street Daily Snapshot,,"Start your trading day with TheStreet’s five-things-you-need-to-know before the market opens. After the close, TheStreet will share the biggest news and moves of the day."
,,Business & finance,APM Marketplace Morning Report,,"News happens while you sleep. Marketplace Morning Report gives you a head start, with three updates throughout the morning. Host David Brancaccio shares the latest on markets, money, jobs and innovation, providing the context you need to make the smartest decisions. And from London, host Anu Anand presents Marketplace Morning Report from BBC World Service to bring you up to speed as the global economy shifts. It's the world perspective you need, from two trusted sources. Marketplace Morning Report is part of the Marketplace portfolio of public radio programs broadcasting nationwide, which additionally includes Marketplace, Marketplace Weekend, and Marketplace Tech. Listen every weekday morning on-air or online anytime at marketplace.org. From American Public Media. Twitter: @marketplace"
,,Business & finance,WIRED Business - Spoken Edition,,"Get in-depth coverage of business news and trends at WIRED including technology, startups, and Silicon Valley.     A SpokenEdition transforms written content into human-read audio you can listen to anywhere. It's perfect for times when you can't read - while driving, at the gym, doing chores, etc. Find more at www.spokenedition.com"
,,Business & finance,TechCrunch Startups - Spoken Edition,,"The newest companies that could change the world.     A SpokenEdition transforms written content into human-read audio you can listen to anywhere. It's perfect for times when you can't read - while driving, at the gym, doing chores, etc. Find more at www.spokenedition.com"
,,Business & finance,The Economist: Money talks,,"Our editors and correspondents give their authoritative take on the markets, the economy and the world of business. Published every Tuesday on Economist Radio."
,,Business & finance,FT Money Show,,"The Financial Times Money Show brings you engaging insight into personal finance. Claer Barrett, her team and leading industry commentators dissect the week’s news and discuss how it will affect you and your pocket. Produced by Lucy Warwick-Ching."
,,Business & finance,Arirang Business News,,Arirang news offers insight into both domestic and international news.
,,Business & finance,APM Marketplace,,"Marketplace® is the leading business news program in the nation. Host Kai Ryssdal and our team of reporters bring you clear explorations of how economic news affects you, through stories, conversations, newsworthy numbers and more. Airing each weekday evening on your local public radio station or on-demand anytime, Marketplace is your liaison between economics and life. Marketplace with Kai Ryssdal is part of the Marketplace portfolio of public radio programs broadcasting nationwide, which additionally includes Marketplace Morning Report®, Marketplace Weekend®, and Marketplace Tech®. Visit marketplace.org for more. From American Public Media. Twitter: @Marketplace"
,,Business & finance,Yahoo Finance - Spoken Edition,,The latest financial news from the columnists at Yahoo! Finance.
,,Business & finance,Sky News - Richo,,The ultimate political insider Graham Richardson with news and views you won't find anywhere else.
,,Business & finance,Sky News - Ticky,,Australia's premier business journalist Ticky Fullerton covers the major issues facing the country and global economy and brings you insights from some of the country's leading business & political figures.
4.0,1 users,Business & finance,Marketing Shot:Chaser,Aaron Grote,"Delivers a daily double dose of the most important marketing news. There's a lot of marketing articles that aren't worth your time. Let us save you time by sorting through it all and delivering summaries of just the two most important stories each day. 

We also know that not every day's news is critical, so we even rate each day's issue by how critical it is. So if you want, you can start each session by asking ""How important is today's news?"" and we'll give you an honest answer."
,,Business & finance,Fast Money,,Fast Money airs weeknights at 5p ET on CNBC. Visit http://fastmoney.cnbc.com for additional information.
,,Business & finance,Blockchain Daily,,Covering Blockchain news since 2018.
,,Business & finance,FT News,,News and analysis from Financial Times reporters around the world. FT News is produced by Fiona Symon.
,,Business & finance,Motley Fool,,Helping the world invest better -- one stock at a time.
,,Business & finance,Nightly Business Report,,"""Nightly Business Report produced by CNBC"" (NBR) is an award-winning and highly-respected nightly business news program that airs on public television. Televisions longest-running evening business news broadcast, ""NBR"" features in-depth coverage and analysis of the biggest financial news stories of the day and access to some of the worlds top business leaders and policy makers. Co-anchored by award-winning journalists Bill Griffeth and Sue Herera, NBR produced by CNBC will explain the days leading stories in a comprehensive and accessible way to a wide-ranging audience."
,,Business & finance,NPR Business,,"Find the latest business news with reports on Wall Street, interest rates, banking, companies, and U.S. and world financial markets. Subscribe to the Business Story of the Day podcast."
,,Business & finance,Yahoo Market Minute,,"One minute every morning is all you need to be prepared for today's markets. Myles Udland, Yahoo Finance's Market Correspondent, hosts."
,,Business & finance,BNN Bloomberg,,Get the latest business headlines and breaking financial news from BNN Bloomberg every hour.
,,Business & finance,ABC Finance,,Listen to the latest finance and business updates from ABC News.
,,Business & finance,CommSec Bulletin,,The latest news and information on investment markets from Australia's leading online broker.
,,Business & finance,Bloomberg Market Minute,,Market updates every 20 and 50 minutes past the hour.
,,Business & finance,Fox Business,,The Power of FOX News on Radio! Hourly Business Report
0.0,0 users,Business & finance,New Jersey Business,xReach.io,"NJBIZ, in its 31st year, is the preeminent business source throughout New Jersey.  Covering everything from Health Care, Finance, Law, Real Estate/Construction, Education, Food/Hospitality, Manufacturing, Technology, Transportation and more, NJBIZ is where the business leaders of NJ consume business content.  
NJBIZ - where your business is our business"
,,Business & finance,CNBC Markets Now,,CNBC Markets Now provides a look at the day's market moves with commentary and analysis.
,,Business & finance,Mad Money Cramer Remix,,Jim Cramer reveals why a strong jobs number could be good news for some domestic players.
3.3,9 users,Business & finance,Corporate Newswire,ContentEngineLLC,Corporate newswire delivers private and public company news on Virtual Digital Assistants and audio devices.
,,Business & finance,Bloomberg P&L,,"Pimm Fox and Lisa Abramowicz focus on market coverage as Wall Street begins its day, with analysis from Bloomberg Gadfly writers, Bloomberg Intelligence analysts, and influential newsmakers."
,,Business & finance,Mad Money Lightning Round,,"Jim Cramer rattles off his take on callers' favorite stocks, including the sub-sector of master limited partnerships."
,,Business & finance,CNN Money,,CNN Money News Briefing
,,Business & finance,CNBC,,Market and business news updates from CNBC
3.7,7 users,Business & finance,Fort Myers Real Estate,Voiceter Pro LLC,The Naples Real Estate skill will help you find your dream home in the Fort Myers region of Florida.  Find any houses for sale in the area in real time! In addition you will be able to ask the value of your home. All in one skill.
,,Business & finance,Bloomberg First Word,,"Get the latest in business, politics and world news in under three minutes with the Bloomberg First Word Flash Briefing. Available weekdays with consistent updates throughout the workday."
2.3,3 users,Business & finance,Watson Insurance Assist,IBM,"This is a happy path demo conversation demonstration of a insurance service in a storytelling format. Please follow the script below.,

Persona
 A tree fell on your home last week and it has been 7 days since an adjuster had been out there.  

Please use this script:

Answer Yes to allow Google to use your profile information

""Can I get a status on my claim?""
""Yes, I am"" 
""Yea, what a mess""
""Nope, never got it!""
“What is my deductible  and limits”
“How do Claims work?”
""OK""
“That would be great”
“Please schedule call”
“1 PM Tomorrow”
""Thank you, Watson""
""Later Watson"""
5.0,2 users,Business & finance,ACT Advisory,,"A conversational presentation of the ACT voice computing advisory. You can questions like what is voice computing, what is the impact of voice computing on the insurance industry."
5.0,2 users,Business & finance,Pet Insurance Advisor,"i9 Systems, Inc","Pet Insurance Advisor, helps you find the best insurance for your pet."
4.0,7 users,Business & finance,Insurance Hotline,InsuranceHotline.com,Get the cheapest car insurance quote from InsuranceHotline.com
0.0,0 users,Business & finance,MLC,,You can use this application to ask general inquiries about your MLC Masterkey account and also inquires about joining the MLC group.
4.6,97 users,Business & finance,ATM Finder,Google Inc.,Ask your Assistant about ATMs nearby
0.0,0 users,Business & finance,The A List Podcast,DiMassimo Goldstein,A podcast about breaking into the advertising industry featuring the best in the business. Sponsored by AdHouse NYC.
3.0,2 users,Business & finance,Bitcoin-crazy,,This is bitcoin information app built in a custom way to help people know about bitcoin info
5.0,1 users,Business & finance,cryptocurrency informer,Mobiport,"crypto currency informer keeps you updated with the daily crypto currency prices and ranks. You can convert the currency value to another country currency.

After you've enabled the service, you just have to say ""Ok Google, talk to cryptocurrency informer"" and you can get started

or try saying things like
-Ok Google, ask cryptocurrency informer to list crypto currency
-Ok Google, ask cryptocurrency informer details of <cryptocurrency>
-Ok Google, ask cryptocurrency informer details for coins above 2 dollars


You can also say, ""Ok Google, ask cryptocurrency informer for help""

Note: This works only with Google Assistant on mobile as of now."
4.2,5 users,Business & finance,CryptoBase,3DIQ (Solaris Nite),CryptoBase helps you stay up to date with your favorite cryptocurrencies by providing you the current market price of many coins. The prices are based on an average of the prices on top markets (updated every 10 seconds).
4.5,2 users,Business & finance,CMC Markets,BlueAnchorSEO,"CMC Markets is a leading global provider of spread betting and CFD trading.

We offer prices on over 10,000 instruments, including forex, indices, commodities, shares, and treasuries. 

To start using the Skill, simply tell your Google device to open CMC Markets and you're ready to go.

Using the CMC Markets Skill, you can access the latest articles and tweets written by our team of analysts, including Chief Market Analyst Michael Hewson, Michael McCarthy, Ric Spooner and Colin Cieszynski.

You can also access the latest spreads and price change percentages for five of the most popularly traded instruments on our Next Generation platform, or access data for the top five indices, forex, commodities and treasuries. 

Risk Warning:
Spread bets and Contracts for Difference (""CFDs"") are leveraged products and carry a high level of risk to your capital as prices may move rapidly against you. Losses can exceed your deposits and you may be required to make further payments. Binaries and Countdowns carry a level of risk to your capital as you could lose all of your investment. These products may not be suitable for all clients therefore ensure you understand the risks and seek independent advice. Invest only what you can afford to lose.

CMC Markets is an execution-only service provider. The material (whether or not it states any opinions) is for general information purposes only, and does not take into account your personal circumstances or objectives. Nothing in this material is (or should be considered to be) financial, investment or other advice on which reliance should be placed. No opinion given in the material constitutes a recommendation by CMC Markets or the author that any particular investment, security, transaction or investment strategy is suitable for any specific person."
2.5,8 users,Business & finance,Crypto Coin,Rahul M R,"Crypto Coin app get you the crypto coin values in INR. This app gives the latest value of BTC and other alt coins in INR. 

Data provided by CryptoCompare.com"
5.0,1 users,Business & finance,Cary Real Estate,Voiceter Pro LLC,"Wondering what the Real Estate market is doing in Cary? 
Your Google Assistant will provide you with up to the minute market trends.
You will also be able to find the approximate market value of your home or any other home or hear the local market update."
5.0,1 users,Business & finance,Tata Power,Yellow  Messenger,This app enables you to communicate with the largest power generation company in India aimed at providing uninterrupted power supply from its various plants located across India.
3.8,28 users,Business & finance,Bank Helper,starbutter AI,"DESCRIPTION
Bobby is your Bank Helper is your Bank Helper. He’s a super brain AI that gives you up-to-date information about the highest bank savings account and CD rates. He also answers general questions about savings accounts and getting CDs, and what the best places are to shop are for these. 

He’s is a financial expert and prefers simple and low-cost financial products from the most trusted and highest-rated firms. Bobby has done her research by looking at trusted sources like the Federal Deposit Insurance Corporation, Consumer Financial Protection Bureau research, Consumer Reports, and other independent sources.

People love Bobby because he helps them figure out which financial product to get. 

EXAMPLES
Ways you can talk to Bank Helper:
""OK Google, talk to Bank Helper""
""Hey Google, ask Bank Helper for today’s CD rates?""
""OK Google, ask Bank Helper who should I bank with?""

TECHNOLOGY
Introducing Bobby - an interactive, conversational agent.  Unlike dumb bots based on rules, Bobby has an sophisticated natural language processing and machine learning core.  He learns and gets better over time, helping you navigate the difficult choice of term life insurance coverage.

COMPANY 
Bank Helper is built by starbutter AI, the world's expert on interactive conversational agents for credit cards, banks, mortgages, insurance, and personal finance.
www.starbutter.com"
5.0,1 users,Business & finance,1031 library,,1031 Library is FAQ bot and answers frequently asking questions about 1031 exchange
4.8,5 users,Business & finance,Coinbase Price,,"Coinbase Price pulls the latest market data from the GDAX exchange so that you can stay up to date with the current prices.

Coinbase Price currently reports the following coins available on Coinbase:
Bitcoin
Bitcoin Cash
Ethereum
Litecoin

This action is unaffiliated with Coinbase, Inc."
4.1,127 users,Business & finance,Aging Dollars,,Aging Dollars allows you to find out  how much money from the past is worth today after being adjusted for inflation. It knows how much things would be worth back all the way back to 1913.
4.6,32 users,Business & finance,Bitcoin Arbitrage,,This app explains what is arbitrage operation with Bitcoins.
0.0,0 users,Business & finance,UCB Bank,United Community Bank,Ask UCB for information about your United Community Bank account.
3.7,3 users,Business & finance,Annoy Nick,Christopher Langenderfer,I am just practicing my skills for a Technical Service Experience class. This bot can be further modified to actually annoy my younger brother nick in the future.
4.6,7 users,Business & finance,Dialog,Dialog,"Dialog personal assistant will help users with information related to their Dialog Mobile account such as checking balances, running balances, credit limits, accessing e-bills and more. To render these services, users simply need to configure their Dialog mobile number to their google account. On the first login user will receive a signup page. Upon successful verification, users can receive assistance with a plethora of Dialog-related services and tasks.
Dialog Axiata PLC is the premier telecommunications service provider in Sri Lanka."
2.2,5 users,Business & finance,Vertifi Software,Vertifi Software,Vertifi Software Banking action lets you get your account balance information and allows you to calculate your monthly payments for loan producuts offered by Vertifi. This action requires account linking.
1.0,3 users,Business & finance,Eastern Corporate fcu,Vertifi Software,Eastern Corporate action lets you get your account balance information and allows you to calculate your monthly payments for loan producuts offered by EasCorp. This skill requires account linking.
4.0,5 users,Business & finance,I Need A Budget,Stockx IT BVBA,"I Need A Budget uses the publicly available YNAB API to talk to You Need A Budget. As a result, you'll need to link your YNAB account. No worries, we don't store any data and just act as a proxy between the Google Assistant and YNAB."
5.0,1 users,Business & finance,PowerPlay,Flextronics Private Limited,"Want to know how energy independent your home is? How much energy your solar panels are generating or your home is using? Just ask! Your Google assistant can help you find more ways to save with your Flex PowerPlay solar system.

To get started create a Flex PowerPlay account and link your solar system robots in the Flex PowerPlay App on your iOS or Android device. Then link your Flex PowerPlay account to your Google Assistant by logging in with your Email and Password."
5.0,3 users,Business & finance,Super Bank,Aytacworld,"Ask Super Bank to give your balance and it will give you the exact amount, with or without pincode you provided."
4.0,3 users,Business & finance,Bank Genie,Conversation.one,check your account balance
4.3,7 users,Business & finance,Piggy Piggy,,"Piggy Piggy helps you with your weekly budget.  Here's some helpful things:
What is my balance?
I just spent $5.
Deposit $10."
4.0,9 users,Business & finance,ComEd,ExelonCorp,"Discover a new way to connect with ComEd through Google Home. ComEd customers can use this skill to check their balance due, report outages and get outage status updates!
Once you’ve connected, say “Ok Google, I want to speak to ComEd.”
To check your balance:
* “What is my current balance?”
* “How much do I owe?”
To report a power outage:
* “My power is out.”
* “I have an outage.”
* “I need to report a power outage.”
To check the status of an outage:
* “When will my power be restored?”
* “What is the status of my outage?”
To get started, simply enable the skill and start asking Google Home for assistance. 
For more information about the ComEd skill, please visit ComEd.com/Chatbot."
3.0,28 users,Business & finance,Koodo,,"Koodo presents, ""your own Koodo assistant.""  It can help you keep track of your data, billing details, manage add-ons like Easy Roam®, tell you about offers and even call or message your friends, which you can easily by saying their name or phone number.
  
Koodo Action lets you:
1.	Check your current bill and due date: just say, ""Hey Google, ask Koodo what's my bill""
2.	Enable a voice call: just say, ""Hey Google, ask Koodo to call mom"" 
3.	Send a text message: just say, ""Hey Google, ask Koodo to send a message to Mike""
4.	Add top-ups or find out about your current mobile data usage 
5.	Add Easy Roam or find out if the destination you're travelling to is covered
6.	Ask about customized Koodo offers
7.	Ask 'Koodo Help' to learn how to use all of the actions
*Purchases only available on Google Assistant

Heads-up! 911 calls are not supported on this action."
4.2,10 users,Business & finance,carbonTRACK,carbonTRACK,"Check your energy usage solar generation
Check the home controls linked to your carbontrack"
3.0,2 users,Business & finance,Computas reception,Computas,"Computas Reception can help with essential tasks such as:
- Finding the nearest coffee machine
- How to get to a certain meeting room
- Where to find a taxi
- What kind of apps Computas has made
- When the next train to Oslo S is"
0.0,0 users,Business & finance,OhioHealth,,"OhioHealth can tell you the current wait time for an OhioHealth urgent care or help you find the nearest one. It can also help you get the hours, address and phone number for any OhioHealth urgent care or emergency care location.

NOTE:  This app does not provide medical advice and is not a substitute for professional advice, treatment or diagnosis.  Please call 911 for medical emergencies."
2.5,2 users,Business & finance,Waukesha County Custard,Michael Fazio,"The Waukesha County Custard assistant will let you know of the Flavors of the Day at various custard shops all over Waukesha County, including Brookfield, Waukesha, and other local towns.  You can also get info about each of the stores, including locations and hours.  Need help?  Just ask ""Waukesha County Custard, what can you tell me?"""
