Rating,Users,Field,Action,Developer,Description
3.7,3 users,Arts & lifestyle,Bible Commentaries,Catena,"The Bible with verse by verse commentary from the church fathers. Catena presents insights on the scripture by early Christian theologians whose faith is the basis of all Christians. 

Catena (from Latin meaning “a chain”): brings the faith that was taught by Christ, preached by the Apostles and kept by the fathers. Contains homilies of the early church fathers whose teachings have enlightened our minds and our hearts. Commentaries from the original Church perspective speaks to the deeper experience in the roots of the authentic faith.

Catena presents a remarkable combination of historic insights and practical instructions in Christian living. Catena provides background information on the historical, literary, and theological dimensions of the Scripture.

If you are looking for authoritative guidance in interpreting Scripture, understanding the early church, and learning how to apply the Word of God to your spiritual life, Catena will be a treasured resource for you"
4.5,11 users,Arts & lifestyle,Hindu Guru,www.ishwar.guru,"Festivals, Mantras, Gita Shlokas, Calendar and Pictures of various deities."
4.1,8 users,Arts & lifestyle,Jewish Times,WYRE corp,"Jewish Times provides you with accurate jewish times / zmanim through google assistant. These times are very useful for jewish people as they are used to determine prayer times, holidays etc."
5.0,1 users,Arts & lifestyle,Catholic Facts,Mechanic Manday,Catholic Facts lets you know more about the interesting facts about the role and functioning of the Catholic Church
4.7,13 users,Arts & lifestyle,Jainism Quiz,Abhya,"Jainism, traditionally known as Jain Dharma, is an ancient Indian religion. Followers of Jainism are called ""Jains"", a word derived from the Sanskrit word jina (victor) and connoting the path of victory in crossing over life's stream of rebirths through an ethical and spiritual life."
3.5,11 users,Arts & lifestyle,Divine Song,,"This service randomly sings verses from Bhagavad Gita - Song of Lord from Mahabharata.

You can also select a particular chapter and ask to sing it."
5.0,5 users,Arts & lifestyle,Escape Temptation,,"Whenever you're feeling tempted apply God's word and escape from it. Remember there is always a way out. 
""No temptation has overtaken you except what is common to mankind. And God is faithful; He will not let you be tempted beyond what you can bear. But when you are tempted, He will also provide a way out so that you can endure it."" — 1 Corinthians 10:13"
3.4,5 users,Arts & lifestyle,Salah Timings,Extentia,"No matter what corner of the world you’re in, Salah Timings provides Islamic prayer timings (Salah) for followers around the world. 

This skill helps keep track of Salat times just for you!
You can ask Google assistant the precise time for all five prayers in any city located in any country across the world, and she’ll tell you in a jiffy! 
While you’re running your errands, just speak to her, it saves you the trouble of looking it up on your phone or the web.

Just say, “Ok google, ask Salah Timings for prayer timings in Chicago”, and you will have the information you need.

In case you’re looking for an early update for the succeeding day’s prayer timings, just be specific – “Ok Google, ask Salah Timings for prayer timings in Berlin tomorrow”, and she will be happy to help you!"
5.0,3 users,Arts & lifestyle,My Child's Prayer,David E. Quiel,"This prayer is based on the prayer found in the author’s book titled ""My Morning Prayer"". It assists families in their talk and walk with Jesus and their personal life experiences as they build a strong relationship with Jesus.

God watches over you every day. He directs your path, challenges you in your faith, and provides for your needs.  He definitely has a purpose for each day of your life. That is why you should talk with Him every day."
5.0,3 users,Arts & lifestyle,Today's Gospel,Jills J Francis,"Today's Gospel is a simple action that makes your mind happy, refreshed and gives you the strength to overcome the problems throughout a day.

Recently, Pope Francis said ""Always have a little Gospel in your pocket or purse... While you are on the bus or subway, on the train, or sitting at home, open it and read it. You try. You will see how your life changes.Because then you will find Jesus.""

So, in this busy life Today's Gospel makes it easy to read a daily Gospel, which is randomly picked and given to each of you.

*Now we have included Beta Version of Today's Gospel Malayalam, Try It..! (Ask: ""What's Today's Gospel Malayalam?"")"
4.6,9 users,Arts & lifestyle,Torah Portion,James Gosnell,"Torah Portion tells you the name of the Torah portion for this week. Say, ""ask the torah portion"" and Assistant will respond with this week's Torah portion."
4.5,154 users,Arts & lifestyle,Muslim Companion,H&W,"The Muslim Companion provides Muslims all over the world with local, up-to-date prayer & fasting times. You can also inquire important Islamic dates.

For prayer times, you may ask questions like,
""When is Fajr?"" or ""What time is Asr salah?"" or,
""What are the prayer times in New York?"" or ""Namaaz times in Lahore?""

For fasting times, you may ask questions like,
""What time is Suhur?"" or ""When will the fast end today?"" or,
""Fasting times in Singapore?"" or ""Sahur and Iftar times in Sydney?""

You can also inquire important Islamic dates like,
""When is Eid ul Fitr?"" or ""What are the dates for Ramadan?"" or, 
""When is Hajj?"" or ""When does Moharam start?"""
0.0,0 users,Arts & lifestyle,Liv at Estée Lauder,Estée Lauder Inc.,"Good skin starts the night before. Find the right products, stick to your skincare routine, and get expert advice to refine your perfect nightly ritual."
4.0,36 users,Arts & lifestyle,Beauty Mirror,HiMirror,"Beauty Mirror is dedicated for HiMirror user to get some skincare tips and read the skin and body report.  Beauty Mirror provides a new way for HiMirror user to experience HiMirror products and services.  You can inquiry the tips for different skincare factors to help your condition.  You can try to say :

-Get skin report
-Get body report
-Get skincare tips

If you would like to get started this Beauty Mirror, you have to complete the ""Account Linking"" procedure.  Please enter your HiMirror account which you have registered first in the HiMirror official website. (https://www.himirror.com/)


Disclaimer:
This action does not provide medical advice, and is for informational and educational purposes only, and is not a substitute for professional medical advice, treatment or diagnosis. Call your doctor to receive medical advice. If you think you may have a medical emergency, please dial your local emergency response phone number."
1.9,27 users,Arts & lifestyle,Salon Professional,Revel Digital,Powered by Revel Digital to create a beauty salon assistant kiosk that will interact with Revel Digital's  CMS.
4.4,114 users,Arts & lifestyle,Beauty Companion,Apoorva Tiwari,Beauty Companion is an advisory app which helps you to prettify yourself and look more physically attractive. This app unveil some tips and tricks for acquiring natural beauty.
4.5,45 users,Arts & lifestyle,Salon & Spa Finder,Google Inc.,Ask your Assistant about salons and spas nearby
4.5,15 users,Arts & lifestyle,Renewate,Renewate,"Renewate helps you ideate, estimate and create all your renovation, remodelling and design requirements. For homes & apartments, offices, showrooms or shops. Through simple and easy steps know what it takes to do your renovation including material and design choices, cost estimates and comparisons. All with the comfort of using it on your phone or computer. Just ask us anything. Powered by AR and AI"
4.2,19 users,Arts & lifestyle,H&M HOME,H&M,"Meet the H&M HOME stylist that will give you some great inspiration. Choose between different styling suggestions for your living room, kitchen, bedroom and bathroom – and enjoy  mood boards, products and inspiration pictures.

Disclaimer: the English version of this application is intended for the UK market only. We do not guarantee an optimal experience in other areas."
4.6,13 users,Arts & lifestyle,Bed Bath and Beyond tip of the day,Bed Bath and Beyond,"Get your daily dose of little life-changers from Bed Bath & Beyond! We’re serving up genius hacks, fun facts, and clever shortcuts to make your everyday easier—plus smart tips, expert tricks and all the best product picks for your whole house, top to bottom."
3.7,3 users,Arts & lifestyle,Gita verses,Annish Kumar,"This app gives random motivational quotes from bhagavad gita (hindu scripture).
It also gives the user options to repeat the quote to listen again or user can move to next quote.

Quotes taken in this app are motivational quotes and not any religion related quotes."
0.0,0 users,Arts & lifestyle,The Wonder Bible,"FutureSoft, Inc.","The Wonder Bible Action is a dramatized  audio Bible based on the NIV translation.

Featuring an ensemble cast of Oscar, Emmy and Grammy Award winners and today's most renowned pastors, Wonder Bible gives a VOICE to all 368 Bible characters. 

FREE: The book of Genesis

To access the full audio simply connect your The Wonder Bible app account to this action.

To listen to The Wonder Bible Audio use these Commands:
OK Google, ask The Wonder Bible to Read {Book Name}
OK Google, ask The Wonder Bible to Read {Book Name} {Chapter #} 
OK Google, ask The Wonder Bible to Read {Book Name} {Chapter #} {Verse #} 
OK Google, ask The Wonder Bible to Read {Book} {Chapter #} {Verse #} through {End Verse #}

Examples: 

To listen to Genesis say ""OK Google, ask The Wonder Bible to read Genesis"".
To listen to Genesis 5:1 - 3 say ""OK Google, ask The Wonder Bible to read Genesis 5:1 through 3"".

Note: 
Pause and Resume supported on all commands.

The book of Genesis is free to access the full Wonder Bible Audio link you Wonder Bible App account to this action."
5.0,2 users,Arts & lifestyle,Creazi Monkey,Antoine Perrin,"Hi. I am Creazi Monkey, a bot who can show you some pictures of my family or give you some quotes. Just ask me and enjoy!"
4.2,8 users,Arts & lifestyle,"The Keys, DJ khaled quotes",,"The Keys, quotes from Khaled provides quotes from Hip Hop Producer DJ Khaled."
5.0,1 users,Arts & lifestyle,Book info,Abacies Logiciels,"This App will help you to understand more about the classic bestseller book "" Think and Grow Rich"" by Napoleon Hill"
5.0,1 users,Arts & lifestyle,Enlighten Me,Elightenment Learning,"Here you can learn new skills, take training, and expand your horizons."
0.0,0 users,Arts & lifestyle,Quotes Mania,Sahil Singh,This app has a collection of some quote so that you can get inspited.
4.8,5 users,Arts & lifestyle,SriSriQuotes,Art of Living Volunteer,"Sri Sri Quotes will share quotes from Gurudev Sri Sri Ravi Shankar - Founder of The Art of Living Foundation. Quotes are from different categories: Life, Karma, Relationship, Mind,  Emotions, Leadership."
3.5,4 users,Arts & lifestyle,Developer quotes,,Developer quotes gives you random software developer quotes to bring fun to your daily software developer life.
3.0,1 users,Arts & lifestyle,Compliments Sample,Google,Get your daily compliments for your mother.
5.0,4 users,Arts & lifestyle,superhero facts,Sachin nelwade,"Hello , my name is superhero facts and the superhero of my life is my dad wishing you a happy fathers's day :) i have got few facts related to superheros and if you love these facts let me know from the review section 

you can give your suggestions on how we can improve this app , thank you for trying superhero facts , have a great day ."
2.0,1 users,Arts & lifestyle,Proverbs Sample,Google,Get your daily helpful proverbs.
5.0,3 users,Arts & lifestyle,Inspirational quotes,Julio Cesar Fuente Saugar,"Inspirational quotes app says you randomly inspirational quotes about love, friendship, life..."
5.0,4 users,Arts & lifestyle,The English Plus,Mayank Agarwal,"English plus will give you all the proverbs, idioms and quotes you will need.
Don't worry English Plus will  always be with you whenever you will have a problem in grammer.
Just one click on your google assistant tab and you will be directed to our app. Enjoy!"
5.0,1 users,Arts & lifestyle,Random Famous Quotes,Idea Labz,Get random famous quotes from movies or from someone famous
4.1,14 users,Arts & lifestyle,Tamil Quran player,Mamuluch Technologies,Tamil Quran Player makes you to listen the holy quran with meaning in tamil
4.2,20 users,Arts & lifestyle,Motivation Quote Daily,Starbutter AI,"DESCRIPTION
Motivation Quote Daily is your intelligent, AI motivational and inspirational coach.  These quotes will guide and inspire you for any occasion.  Set daily reminders for yourself and share uplifting messages with friends and family.

This AI assistant is constantly searching for thousands of quotes with deep and rich meanings, with new quotes served every day!

EXAMPLES
Ways you can talk to Motivation Quote Daily:
""OK Google, give me a daily quote""
""OK Google, talk to Motivation Quote Daily.""
""OK Google, What is an inspiring saying?""
""OK Google, tell me something nice.""

TECHNOLOGY
Introducing Motivation Quote Daily - an interactive, conversational agent.  Unlike dumb bots based on rules, Motivation Quote Daily has a sophisticated natural language processing and machine learning core.  He learns and gets better over time, helping target inspirational sayings to you.

COMPANY 
Motivation Quote Daily is built by Starbutter AI, the world's expert on interactive conversational agents.
www.starbutter.com"
4.1,33 users,Arts & lifestyle,Tamil Wisdom,,"Thirukkural or shortly the ""Kural"" is a classic Tamil Sangam literature consisting of 1330 quotes that are full of wisdom. Although this was written more than 2,200 years ago, it provides the code of conduct for mankind to follow through all time.

Thirukkural is translated into about 82 languages and is the most widely translated non-religious work in the world."
5.0,1 users,Arts & lifestyle,Running facts,COFINITE Tech Labs,"Get to know Interesting running facts that you wanted to know. If you are a runner, this is the place for you to know more about your love (running).
Spread the love. Running facts will make you love running more."
3.0,2 users,Arts & lifestyle,Ashi's Buddy,,"In this a player first select between love me and miss me, then by random selection it decides a particular result if it is love me or love me not."
4.1,37 users,Arts & lifestyle,Quote Machine,Sagar Choudhary,This skill will provide you with the interesting quotes every time you ask for it from every category.
0.0,0 users,Arts & lifestyle,Movie Quotes Quiz,chrisb10,Use the Movie Quotes Quiz to test the whole families knowledge of quotes from popular favourite movies.
5.0,2 users,Arts & lifestyle,Pandurang Vitthala,Polstech.com,"Pandurang Vitthala tells you different abhang or devotional quotes of sant Tukaram, Sant Dnyaneshwar, Sant Namdev and many other Marathi Sant.

Pandurang Vitthala service provides application for android, chrome extension and google assistance service to play abhang and to get information about sant, pandharpur and wari ."
4.2,6 users,Arts & lifestyle,Esquire,Hearst,"Esquire is the #1 Men's Magazine. Our app takes the Magazine into your home with snippets of wisdom from our archives, and more to come."
5.0,3 users,Arts & lifestyle,Hiyaro Help,Bajan Digital Creations Incorporated,"Hiyaro Help is your digital hostess to a different experience of Barbados. Hiyaro Help can direct you to quality stores and services, in Barbados, that you may not have found using a more general search. Hiyaro Help can tell you a few jokes, give you an inspiring quote and much more.

Discover and use deep link functions to get straight to the point or hunt for the easter egg phrases that trigger pleasant surprise responses.

Making it easy to find paradise."
3.4,41 users,Arts & lifestyle,Divine Entity,Tash Keuneman,"This is a participatory art work that gives advice and solace.

The divine helps you plug into your deeper self, a self without performative behaviour or labels. It can answer some questions, but if you have any suggestions, as always, let me know."
4.4,5 users,Arts & lifestyle,Motivational bro,,"Its a motivational app , which tells some valuable quotes to the users according to the category they have chosen."
4.6,9 users,Arts & lifestyle,motivator pro,Kashish Bansal,motivator pro motivates people and help them to move on in life.
5.0,1 users,Arts & lifestyle,Daily Reading,Catena,The Daily Reading is based on the Lectionary of the Church of Alexandria. The Liturgy readings are selected. This is the Lectionary of the Bible app Catena.
4.0,2 users,Arts & lifestyle,Stones & Hustle,Stones & Hustle Inc.,"The Stones and Hustle app for Google Assistant provides random motivational phrases for entrepreneurs worldwide. By talking with the app, you'll get out of any slump you're in, and remember the only thing it takes to succeed is stones and hustle."
5.0,1 users,Arts & lifestyle,Huzaifa's Agent,Hazdor,I am capable of intelligent behavior. I can change your mood by telling you the jokes and humorous quotes. If you are getting bored you can have a conversation with me. I am capable of searching songs for you on youtube and Dailymotion. If you want to get socialized I can also find new contacts for you on Facebook. You can also search people on Google and Wikipedia through me
4.2,4 users,Arts & lifestyle,Bangla Quran,Kaisar Uddin,"Bangla Quran with transliteration and bangla meaning and you can also listen single verse of any chapter.

Arabic - Mishary Rashid Alafasy
Bangla - Bangla Quran Islamic Foundation

Thanks"
3.8,16 users,Arts & lifestyle,Mind Guru,OpenBiz Solutions,"Mind Guru is a skill that gives you relaxing phrases to help you find positive thoughts and brighten your day. Our minds are powerful and have a great influence in the way we see and feel the world around us. Mind Guru helps you boost your mood.
To use this skill, enable it. The you can ask the following:

'ask Mind guru a relaxing quote'"
5.0,1 users,Arts & lifestyle,Randomize Quotes,Jay Kanakiya,Randomize Quote is an app which enables user to generate quotes and get an inspiration to succeed in Life!
3.5,2 users,Arts & lifestyle,awesome quote,Vaibhav Malpani,You can use awesome quote to get your daily motivation
5.0,20 users,Arts & lifestyle,Daily chemistry facts,Pooja,Daily chemistry facts provides you some amazing facts about role of chemistry in our life
3.6,8 users,Arts & lifestyle,Crave Engine,Abrays,"Crave Engine gives tour of abrays blog posts, tell you quotes from his blog, tells you some jokes when you are bored, tells you recent weather forecast of over 2 Lakh Cities and suggests you about movies to watch."
4.6,45 users,Arts & lifestyle,The World's Book of Knowledge,,This bot help us to learn Thirukkural by Thiruvalluvar
3.6,28 users,Arts & lifestyle,Inspire Me,BitCot,"To inspire, motivate, recite and share. The main goal of the InspireMe application is to provide great content to educate and use the power of inspiration
to stimulate influence upon the intellect or emotions."
5.0,4 users,Arts & lifestyle,Gary Vaynerchuk Quotes,,Are you a Gary Vaynerchuk follower? Use this action to hear some of his best quotes.
4.5,160 users,Arts & lifestyle,Gita Quotes,English King,"Gita Quotes will help you to live your life without getting frightened. It will motivate you to live your life fluently. The motive of this app is to spread the positivity and good things among the people. Get to know our religion, our culture, our belief. Connect with our religion and let's make this world a place of peace!"
4.1,19 users,Arts & lifestyle,Quote teller,Vanpra,"Quote teller can tell a variety of different quotes, inspirational quotes, famous quotes and even quotes said by famous Google figures such as Larry Page and Sergey Brin. Quotes teller has over 100 different quotes with more being continuously added Just ask quote teller for a quote. Quote teller can also tell you quotes from a many different celebraties"
3.7,73 users,Arts & lifestyle,Who Ate the Tuna Salad?,,"Tuna Salad is the premier google action for mocking the all-too-common restaurant conversation of dividing a check. The user asks Google Assistant ""Who ate the Tuna salad?"" to which they respond with literary quote denying that the dish was there's."
5.0,1 users,Arts & lifestyle,Today's Stoicism,vimota,Today's Stoicism gives you a brief quote from the famous Stoics of history for you to carry with you throughout the day.
4.0,6 users,Arts & lifestyle,Science Pickup Lines,,Science pickup lines will tell you a nerdy pickup line.
4.8,6 users,Arts & lifestyle,Daily Quoter,Sanketzade,Bored! Depressed! Just talk to Daily Quoter to hear a quote.
5.0,9 users,Arts & lifestyle,Happy quote,Lets Nurture,"Feeling bored on a busy day? Need an inspiration? Well, with Google home, you can hear the best quotes of the day whenever you wish to. Google Action developers of Let’s Nurture have developed an amazing Google Action called ‘Happy Quotes’. You only have to say ‘Ok Google, tell me quote of the day.” Google Home will provide you the best quotes to perk you up. Enjoy!!"
3.5,85 users,Arts & lifestyle,Top Motivator,,"Top Motivator will motivate you with motivational slogans or compliments and keeps you in a good mood.

Sometimes Top Motivator exaggerates it a bit, but what he is serious!

Let Top Motivator surprise, motivate or simply entertain you.

This action is regularly expanded to make it a valuable companion to your everyday life."
2.5,4 users,Arts & lifestyle,Totally 80s,thirteen23,Totally 80s plays scenes from the movie Ferris Bueller's Day Off
4.5,21 users,Arts & lifestyle,Travel Quotes,Raghav,Travel quotes inspire people to travel more by providing many travel quotes
3.9,47 users,Arts & lifestyle,Gods word,Thirishul,Thirukkural is the ultimate way to learn
3.2,90 users,Arts & lifestyle,Girl Power,,"No matter your sex, we can all use some inspiration.

Be inspired by past and present women from around the world, and share the inspiration around you.

And in the process, learn more about outstanding women like Florence Nightingale, Cora Coralina, Evita Peron, and many others!"
4.2,46 users,Arts & lifestyle,Inspiring Quotes,,It will inspire you with a inspirational quote everytime
4.2,366 users,Arts & lifestyle,Alfred Quotes,,Tell Alfred how you feel and Alfred will give you an uplifting quote that matches your mood.
4.0,37 users,Arts & lifestyle,Daily Motivation,G Services,"Feeling down or in need of a uplifting and inspirational message? Daily Motivation is here to provide, start your day or afternoon with an inspirational quote or short story from Daily Motivation!

The Action works by grabbing a quote or a story from a pool, and reads it. List is updated constantly."
4.1,224 users,Arts & lifestyle,story that inspire,Shrawan Yenumula,"Stories and Quotes That'll inspires us and Change the Way You Perceive Life.
It can give a path to light for the darkest times  please visit us every day for more interesting and motivating stories and quotes  

Please Give us your feedback and send some suggestion to our email to serve you better
and don't forget to rate us"
4.3,145 users,Arts & lifestyle,Winston Churchill Quotes,Roger Thomas,"Bring some of the most powerful quotes into your assistant by asking to ""talk to Winston Churchill""."
3.0,134 users,Arts & lifestyle,Motivate Me,,Feeling down? Need some inspiration? Motivate Me is just what you need. Ask for motivation and you will receive the best motivational sound clips
4.3,23 users,Arts & lifestyle,Daily Quote,Open Minds UG (haftungsbeschränkt),"Daily Quote gives you a new quote every day. It tells you the saying itself and by whome this saying is. 

From December onwards the following new features will be added:
- ask for random quotes
- ask for quotes of past dates
- ask for a repetition of the quote
- link through to the Wikipedia page of the author (on devices with a screen)
- link through to a Google search of the quote (on devices with a screen)"
3.8,118 users,Arts & lifestyle,Today Daily Devotional,Reframe Media,"Today is a daily devotional that helps God's people refresh, refocus, and renew their faith through Bible reading, reflection, and prayer. You can play today's devotion, or ask for a devotion from another date if you want to listen ahead or re-play an old favorite."
4.1,174 users,Arts & lifestyle,Pick Me Up,Introlight,Talk to Pick Me Up when you need a little encouragement within everyday life
4.3,397 users,Arts & lifestyle,Get Motivated,VoiceCities,"Listen to motivational quotes & music to get you ready for your morning run, gym session, sporting match or normal day.

Perfect for those early mornings before you go running or head down to the gym. Or do you have a big day at work? perhaps an exam? and just need a little bit of extra energy.

If you love this App please leave us a 5-star review. It really means the world to us and helps us add new content and Apps. Thank you."
